GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
GNPS library ID	test			amino acid / peptide	acetylated amino acid		food additive	drug	not specified	sweetener	mast cell stabilizer	not specified	yes	fungicidal	test	boolean	boolean	yes or no	yes or no	free text	free text
																					
red double check that name is no identitical (case differences are VALID)	orange double check common name	orange double check common name	orange double check common name	green is an acceptable entry	green is an acceptable entry		green is an acceptable entry	green is an acceptable entry	green is an acceptable entry	green is an acceptable entry					*something wrong here						
()11-HEDE	(12E,14Z)-11-Hydroxyicosa-12,14-dienoic acid	InChI=1S/C20H36O3/c1-2-3-4-5-7-10-13-16-19(21)17-14-11-8-6-9-12-15-18-20(22)23/h7,10,13,16,19,21H,2-6,8-9,11-12,14-15,17-18H2,1H3,(H,22,23)/b10-7-,16-13+	CCCCCC=CC=CC(CCCCCCCCCC(=O)O)O	lipid	fatty acid		food	food	food	plant						yes	yes	yes	yes	not documented; produced by non-enzymatic oxidation of 11,14-eicosadienoic acid	https://www.caymanchem.com/product/37500
(2.beta.,3.alpha.,5.alpha.,16.beta.,17.beta.)-2-(4-Morpholinyl)-16-(1-pyrrolidinyl)androstane-3,17-diol	(2,3,5,16,17)-2-(4-Morpholinyl)-16-(1-pyrrolidinyl)androstane-3,17-diol	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited				yes	yes	yes	yes		
Ethyl 3-hydroxybenzoate	Ethyl 3-hydroxybenzoate	InChI=1S/C9H10O3/c1-2-12-9(11)7-4-3-5-8(10)6-7/h3-6,10H,2H2,1H3	CCOC(=O)C1=CC(=CC=C1)O					food	food additive	preservative						no	no	no	no		https://pubchem.ncbi.nlm.nih.gov/compound/Ethyl_3-hydroxybenzoate#section=Top
3-(2-Hydroxyphenyl)propionic acid	2-Hydroxybenzenepropanoic acid	InChI=1S/C9H10O3/c10-8-4-2-1-3-7(8)5-6-9(11)12/h1-4,10H,5-6H2,(H,11,12)	C1=CC=C(C(=C1)CCC(=O)O)O					food	food	plant						no	no	no	no		https://pubchem.ncbi.nlm.nih.gov/compound/3-_2-Hydroxyphenyl_propionic_acid
(Phenoxymethyl)penicilloic acid	(Phenoxymethyl)penicilloic acid	InChI=1S/C16H20N2O6S/c1-16(2)12(15(22)23)18-13(25-16)11(14(20)21)17-10(19)8-24-9-6-4-3-5-7-9/h3-7,11-13,18H,8H2,1-2H3,(H,17,19)(H,20,21)(H,22,23)	CC1(C(NC(S1)C(C(=O)O)NC(=O)COC2=CC=CC=C2)C(=O)O)C	drug	drug		antimicrobial	drug	drug metabolite	drug metabolite	antibiotic	penicillin metabolite	yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/96439#section=Top
Spectral Match to 1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine from NIST14	1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine	InChI=1S/C24H50NO6P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-29-22-24(26)23-31-32(27,28)30-21-19-25(2,3)4/h18,20,24,26H,5-17,19,21-23H2,1-4H3/b20-18-/t24-/m1/s1	CCCCCCCCCCCCCC\C=C/OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	lipid	phospholipid	phosphocholine	multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73850
Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14	1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine			lipid	phospholipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		
